time,low,high,open,close,volume
2025-05-23 19:00:00+00:00,2556.54,2576.15,2560.35,2560.99,8207.54117199
2025-05-23 20:00:00+00:00,2527.0,2563.32,2561.09,2543.89,6278.14999281
2025-05-23 21:00:00+00:00,2527.92,2554.12,2543.56,2535.03,2905.64562962
2025-05-23 22:00:00+00:00,2530.63,2559.87,2535.03,2539.24,4698.15744299
2025-05-23 23:00:00+00:00,2503.76,2543.23,2539.13,2527.02,7112.69993328
2025-05-24 00:00:00+00:00,2515.72,2544.84,2526.83,2516.66,4209.18195057
2025-05-24 01:00:00+00:00,2515.78,2536.1,2516.31,2525.0,2630.98203369
2025-05-24 02:00:00+00:00,2519.24,2545.81,2524.99,2541.37,1934.85729033
2025-05-24 03:00:00+00:00,2538.61,2557.17,2541.3,2550.62,1543.39479037
2025-05-24 04:00:00+00:00,2546.52,2563.98,2550.62,2559.97,1417.2343647
2025-05-24 05:00:00+00:00,2544.06,2561.41,2559.97,2551.39,1290.05807897
2025-05-24 06:00:00+00:00,2536.11,2556.24,2551.4,2548.05,1359.88492832
2025-05-24 07:00:00+00:00,2545.52,2561.13,2547.97,2547.66,1142.39188678
2025-05-24 08:00:00+00:00,2545.89,2559.22,2547.66,2557.4,1319.6812223
2025-05-24 09:00:00+00:00,2552.22,2561.54,2557.47,2553.57,1099.88315509
2025-05-24 10:00:00+00:00,2553.15,2577.57,2553.59,2570.89,2254.07408545
2025-05-24 11:00:00+00:00,2562.62,2576.49,2570.85,2564.04,1835.57857879
2025-05-24 12:00:00+00:00,2550.13,2566.01,2564.09,2559.96,2054.68757946
2025-05-24 13:00:00+00:00,2544.48,2563.26,2560.14,2547.6,1395.44526015
2025-05-24 14:00:00+00:00,2544.55,2562.11,2547.3,2559.42,1714.32290472
2025-05-24 15:00:00+00:00,2550.42,2565.49,2559.37,2556.37,2059.42146573
2025-05-24 16:00:00+00:00,2544.44,2563.43,2556.48,2558.59,1174.04612895
2025-05-24 17:00:00+00:00,2556.25,2565.48,2558.89,2558.85,994.18163235
2025-05-24 18:00:00+00:00,2545.76,2568.48,2558.86,2550.19,1218.31786373
2025-05-24 19:00:00+00:00,2547.03,2556.12,2550.15,2554.95,1491.7588968
2025-05-24 20:00:00+00:00,2550.47,2557.6,2555.2,2553.22,657.22021055
2025-05-24 21:00:00+00:00,2521.0,2553.59,2553.09,2541.11,2314.05127375
2025-05-24 22:00:00+00:00,2522.36,2541.1,2540.99,2526.14,1375.67846699
2025-05-24 23:00:00+00:00,2518.42,2535.78,2526.19,2530.99,2144.53822133
2025-05-25 00:00:00+00:00,2477.0,2540.59,2531.34,2488.09,7799.24316264
2025-05-25 01:00:00+00:00,2480.38,2505.01,2487.63,2496.92,4549.97203243
2025-05-25 02:00:00+00:00,2487.25,2511.81,2496.92,2509.19,2988.47620767
2025-05-25 03:00:00+00:00,2507.84,2522.24,2509.1,2514.08,2410.98051091
2025-05-25 04:00:00+00:00,2506.78,2519.68,2514.0,2518.38,1449.32366622
2025-05-25 05:00:00+00:00,2507.84,2519.82,2518.38,2513.64,615.05643981
2025-05-25 06:00:00+00:00,2502.63,2514.37,2513.36,2508.13,888.19252974
2025-05-25 07:00:00+00:00,2488.14,2508.12,2508.12,2494.85,2467.48540863
2025-05-25 08:00:00+00:00,2463.37,2495.2,2494.85,2478.64,3280.47047146
2025-05-25 09:00:00+00:00,2473.12,2496.34,2478.33,2496.03,1843.03960177
2025-05-25 10:00:00+00:00,2489.11,2502.76,2496.1,2492.95,1429.49334076
2025-05-25 11:00:00+00:00,2488.98,2500.87,2493.02,2498.48,723.85210926
2025-05-25 12:00:00+00:00,2495.88,2518.36,2498.49,2517.5,2092.83353585
2025-05-25 13:00:00+00:00,2511.74,2525.77,2517.5,2514.35,1332.62510455
2025-05-25 14:00:00+00:00,2498.87,2518.83,2514.49,2506.98,1869.19385268
2025-05-25 15:00:00+00:00,2479.94,2516.6,2507.01,2512.25,4102.67186118
2025-05-25 16:00:00+00:00,2496.99,2514.78,2512.71,2512.52,1978.49423711
2025-05-25 17:00:00+00:00,2509.81,2518.03,2512.7,2514.84,1045.81611249
2025-05-25 18:00:00+00:00,2512.36,2524.34,2514.72,2517.45,1610.32679018
2025-05-25 19:00:00+00:00,2515.91,2536.55,2517.29,2527.07,1561.01855627
2025-05-25 20:00:00+00:00,2512.94,2529.69,2527.62,2524.86,1536.94456811
2025-05-25 21:00:00+00:00,2509.24,2532.34,2524.94,2516.54,1303.70676073
2025-05-25 22:00:00+00:00,2513.29,2555.16,2516.22,2550.34,6996.66735507
2025-05-25 23:00:00+00:00,2536.15,2555.3,2550.48,2552.32,2378.58449322
2025-05-26 00:00:00+00:00,2537.85,2575.74,2552.44,2572.67,3471.069759
2025-05-26 01:00:00+00:00,2556.22,2578.38,2572.85,2560.09,2750.58460122
2025-05-26 02:00:00+00:00,2548.6,2565.64,2560.22,2554.21,2801.06272947
2025-05-26 03:00:00+00:00,2550.2,2568.24,2554.2,2561.49,1821.95663332
2025-05-26 04:00:00+00:00,2558.69,2571.35,2561.5,2565.68,1857.5214466
2025-05-26 05:00:00+00:00,2562.8,2576.68,2565.68,2569.69,1830.6365603
2025-05-26 06:00:00+00:00,2566.11,2587.09,2569.64,2584.35,1844.61690788
2025-05-26 07:00:00+00:00,2578.86,2600.8,2584.23,2582.14,5564.3687167
2025-05-26 08:00:00+00:00,2566.0,2584.12,2582.19,2569.39,2438.98731667
2025-05-26 09:00:00+00:00,2556.67,2575.76,2569.39,2564.27,2292.83828346
2025-05-26 10:00:00+00:00,2555.85,2570.7,2564.27,2560.68,1037.11677008
2025-05-26 11:00:00+00:00,2556.83,2569.84,2560.63,2569.19,1193.5042401
2025-05-26 12:00:00+00:00,2562.0,2575.43,2569.17,2569.44,1050.97661867
2025-05-26 13:00:00+00:00,2538.48,2572.98,2569.45,2552.5,4145.86720366
2025-05-26 14:00:00+00:00,2542.97,2557.47,2552.33,2551.55,2044.37573
2025-05-26 15:00:00+00:00,2546.32,2571.83,2551.7,2567.18,6244.70673325
2025-05-26 16:00:00+00:00,2536.63,2574.66,2567.39,2543.68,3119.24312756
2025-05-26 17:00:00+00:00,2526.98,2549.99,2543.55,2534.34,1830.73547901
2025-05-26 18:00:00+00:00,2529.13,2547.35,2534.44,2535.66,1296.57772647
2025-05-26 19:00:00+00:00,2533.09,2545.28,2535.81,2542.0,1139.32147904
2025-05-26 20:00:00+00:00,2537.09,2568.64,2541.9,2567.02,2126.7940682
2025-05-26 21:00:00+00:00,2556.15,2568.94,2566.72,2563.65,1369.72504599
2025-05-26 22:00:00+00:00,2558.04,2585.59,2563.59,2560.65,2285.50067972
2025-05-26 23:00:00+00:00,2554.03,2565.72,2560.43,2564.32,1419.93568278
2025-05-27 00:00:00+00:00,2550.0,2574.43,2564.71,2551.54,1838.29721268
2025-05-27 01:00:00+00:00,2510.54,2551.93,2551.73,2530.51,5842.0815089
